Keyperson,keyinstn,longname,persontext,tokenized_sentences,sentences_with_longname,sentences_without_longname,total_sentences_containing,total_occurences
1001878630,100130,"AMCORE Financial, Inc.","Mr. Thomas Henry Bolgert, also known as Tom, CFA serves as Vice President and Portfolio Manager at Campbell Newman Asset Management, Inc. Mr. Bolgert joined the firm in April 2002. Prior to this, he was employed at Amcore Financial as a portfolio manager for the Vintage Funds. Prior to that, he was a vice president and analyst at Firstar Investment Research and Management Company, LLC. He also held investment analyst positions with First National Bank of Chicago and State of Michigan Retirement System. He graduated with a BS degree in business administration from Valparaiso University in 1981and received his MBA degree in finance from University of Wisconsin-Madison in 1983. He is a Chartered Financial Analyst charterholder.","['Mr. Thomas Henry Bolgert, also known as Tom, CFA serves as Vice President and Portfolio Manager at Campbell Newman Asset Management, Inc.', 'Mr. Bolgert joined the firm in April 2002.', 'Prior to this, he was employed at Amcore Financial as a portfolio manager for the Vintage Funds.', 'Prior to that, he was a vice president and analyst at Firstar Investment Research and Management Company, LLC.', 'He also held investment analyst positions with First National Bank of Chicago and State of Michigan Retirement System.', 'He graduated with a BS degree in business administration from Valparaiso University in 1981and received his MBA degree in finance from University of Wisconsin-Madison in 1983.', 'He is a Chartered Financial Analyst charterholder.']","Prior to this, he was employed at Amcore Financial as a portfolio manager for the Vintage Funds.","Mr. Thomas Henry Bolgert, also known as Tom, CFA serves as Vice President and Portfolio Manager at Campbell Newman Asset Management, Inc. Mr. Bolgert joined the firm in April 2002. Prior to that, he was a vice president and analyst at Firstar Investment Research and Management Company, LLC. He also held investment analyst positions with First National Bank of Chicago and State of Michigan Retirement System. He graduated with a BS degree in business administration from Valparaiso University in 1981and received his MBA degree in finance from University of Wisconsin-Madison in 1983. He is a Chartered Financial Analyst charterholder.",1,1
177476,100282,First Regional Bancorp,"Mr. Steven J. Sweeney, also known as Steve, served as General Counsel of First Regional Bancorp. Mr. Sweeney served as Executive Vice President and General Counsel of First Regional Bank, a subsidiary of First Regional Bancorp since July 1, 2003 and served as its Director since May 15, 2003. Mr. Sweeney practiced law with the law firm of Skadden, Arps, Slate, Meagher & Flom LLP and in private practice.","['Mr. Steven J. Sweeney, also known as Steve, served as General Counsel of First Regional Bancorp.', 'Mr. Sweeney served as Executive Vice President and General Counsel of First Regional Bank, a subsidiary of First Regional Bancorp since July 1, 2003 and served as its Director since May 15, 2003.', 'Mr. Sweeney practiced law with the law firm of Skadden, Arps, Slate, Meagher & Flom LLP and in private practice.']","Mr. Steven J. Sweeney, also known as Steve, served as General Counsel of First Regional Bancorp. Mr. Sweeney served as Executive Vice President and General Counsel of First Regional Bank, a subsidiary of First Regional Bancorp since July 1, 2003 and served as its Director since May 15, 2003.","Mr. Sweeney practiced law with the law firm of Skadden, Arps, Slate, Meagher & Flom LLP and in private practice.",2,2
177475,100701,Capital Corp of the West,Bertyl W. Johnson had been a Director of Capital Corp. of the West since 1977 and is a Tree crop farmer and nut processor.,['Bertyl W. Johnson had been a Director of Capital Corp. of the West since 1977 and is a Tree crop farmer and nut processor.'],Bertyl W. Johnson had been a Director of Capital Corp. of the West since 1977 and is a Tree crop farmer and nut processor.,,1,1
1005199712,100903,Vineyard National Bancorp,"Mr. Demetri Snow was a Regional President of Salinas & King City at 1st Capital Bank since December 3, 2018 until June 2019. Mr. Snow is a veteran local banker with twenty-five years of experience serving clients in the Salinas Valley. He served as Vice President and Business Development Officer for Government Guaranteed Lending of Pacific Valley Bank since February 2008. Mr. Snow served as Vice President of SBA and Commercial Real Estate Loans of California at Pinnacle Bank since September 2007. He served as Vice President and SBA Business Development Officer of Vineyard National Bancorp since July 2006. With over 20 years of experience serving this marketplace, he has expertise with the SBA 504 and 7a products. Mr. Snow began his career with Wells Fargo Bank as a Business Financial Officer underwriting a variety of Small Business Loans and also served as its Assistant Vice President. In 1996, Mr. Snow joined Bank of America where he served as an Assistant Regional Sales Manager and managed the central coasts business development sales team. In 1999, he accepted a position with First National Bank in their SBA division where he trained branch personnel on the SBA process. Mr. Snow is an active member of his community, volunteering for United Way, The International Coalition for the Prevention of Alcoholism &amp; Drug Abuse, and the Economic Development Center of Monterey County. Mr. Snow was raised in the Salinas Valley and attended Palma High School and Hartnell College before receiving his Bachelor of Science in Business Administration from California State University, Fresno.","['Mr. Demetri Snow was a Regional President of Salinas & King City at 1st Capital Bank since December 3, 2018 until June 2019.', 'Mr. Snow is a veteran local banker with twenty-five years of experience serving clients in the Salinas Valley.', 'He served as Vice President and Business Development Officer for Government Guaranteed Lending of Pacific Valley Bank since February 2008.', 'Mr. Snow served as Vice President of SBA and Commercial Real Estate Loans of California at Pinnacle Bank since September 2007.', 'He served as Vice President and SBA Business Development Officer of Vineyard National Bancorp since July 2006.', 'With over 20 years of experience serving this marketplace, he has expertise with the SBA 504 and 7a products.', 'Mr. Snow began his career with Wells Fargo Bank as a Business Financial Officer underwriting a variety of Small Business Loans and also served as its Assistant Vice President.', 'In 1996, Mr. Snow joined Bank of America where he served as an Assistant Regional Sales Manager and managed the central coasts business development sales team.', 'In 1999, he accepted a position with First National Bank in their SBA division where he trained branch personnel on the SBA process.', 'Mr. Snow is an active member of his community, volunteering for United Way, The International Coalition for the Prevention of Alcoholism &amp; Drug Abuse, and the Economic Development Center of Monterey County.', 'Mr. Snow was raised in the Salinas Valley and attended Palma High School and Hartnell College before receiving his Bachelor of Science in Business Administration from California State University, Fresno.']",He served as Vice President and SBA Business Development Officer of Vineyard National Bancorp since July 2006.,"Mr. Demetri Snow was a Regional President of Salinas & King City at 1st Capital Bank since December 3, 2018 until June 2019. Mr. Snow is a veteran local banker with twenty-five years of experience serving clients in the Salinas Valley. He served as Vice President and Business Development Officer for Government Guaranteed Lending of Pacific Valley Bank since February 2008. Mr. Snow served as Vice President of SBA and Commercial Real Estate Loans of California at Pinnacle Bank since September 2007. With over 20 years of experience serving this marketplace, he has expertise with the SBA 504 and 7a products. Mr. Snow began his career with Wells Fargo Bank as a Business Financial Officer underwriting a variety of Small Business Loans and also served as its Assistant Vice President. In 1996, Mr. Snow joined Bank of America where he served as an Assistant Regional Sales Manager and managed the central coasts business development sales team. In 1999, he accepted a position with First National Bank in their SBA division where he trained branch personnel on the SBA process. Mr. Snow is an active member of his community, volunteering for United Way, The International Coalition for the Prevention of Alcoholism &amp; Drug Abuse, and the Economic Development Center of Monterey County. Mr. Snow was raised in the Salinas Valley and attended Palma High School and Hartnell College before receiving his Bachelor of Science in Business Administration from California State University, Fresno.",1,1
716972,102805,Harbourton Financial Services L.P.,"Mr. Kevin John Ryan is the Chief Financial Officer and Senior Vice President at Merit Energy Corporation. Over the past 19 years at Merit, he has also held positions in the business development area (acquisitions/divestitures) as well as spending 4.5 years running an operations division. As CFO, Mr. Ryan oversees the risk management area (insurance and hedging) in addition to the accounting, tax, treasury, and information technology areas. Mr. Ryan is a graduate of the University of Texas - Austin with an undergraduate degree in Accounting and an M.B.A. degree from the University of Texas - Dallas. He is a certified public accountant registered in the state of Texas.","['Mr. Kevin John Ryan is the Chief Financial Officer and Senior Vice President at Merit Energy Corporation.', 'Over the past 19 years at Merit, he has also held positions in the business development area (acquisitions/divestitures) as well as spending 4.5 years running an operations division.', 'As CFO, Mr. Ryan oversees the risk management area (insurance and hedging) in addition to the accounting, tax, treasury, and information technology areas.', 'Mr. Ryan is a graduate of the University of Texas - Austin with an undergraduate degree in Accounting and an M.B.A. degree from the University of Texas - Dallas.', 'He is a certified public accountant registered in the state of Texas.']",,"Mr. Kevin John Ryan is the Chief Financial Officer and Senior Vice President at Merit Energy Corporation. Over the past 19 years at Merit, he has also held positions in the business development area (acquisitions/divestitures) as well as spending 4.5 years running an operations division. As CFO, Mr. Ryan oversees the risk management area (insurance and hedging) in addition to the accounting, tax, treasury, and information technology areas. Mr. Ryan is a graduate of the University of Texas - Austin with an undergraduate degree in Accounting and an M.B.A. degree from the University of Texas - Dallas. He is a certified public accountant registered in the state of Texas.",0,0
267059,100282,First Regional Bancorp,"Mr. Richard E. Schreiber has been a Partner of Tatum CFO Partners, LLP since June 2003. Mr. Schreiber served as a Director of Financial Projects of Kaiser Foundation Health Plan, Inc. (HMO) from February 1999 to February 2004. Mr. Schreiber served as a Director of First Regional Bancorp since 2003.","['Mr. Richard E. Schreiber has been a Partner of Tatum CFO Partners, LLP since June 2003.', 'Mr. Schreiber served as a Director of Financial Projects of Kaiser Foundation Health Plan, Inc. (HMO) from February 1999 to February 2004.', 'Mr. Schreiber served as a Director of First Regional Bancorp since 2003.']",Mr. Schreiber served as a Director of First Regional Bancorp since 2003.,"Mr. Richard E. Schreiber has been a Partner of Tatum CFO Partners, LLP since June 2003. Mr. Schreiber served as a Director of Financial Projects of Kaiser Foundation Health Plan, Inc. (HMO) from February 1999 to February 2004.",1,1
31758,100282,First Regional Bancorp,"Mr. Thomas McCullough is Executive Vice President, Executive Administration for Commercial Bank of California. In this role, he helps exceptional individuals build effective teams to accomplish extraordinary things for the Bank and its clients. Mr. McCullough began his banking career in 1974 and since that time has served in a variety of positions in independent banks throughout Southern California. Mr. McCullough has been active in banking industry organizations. He is a past member of the Board of the California Bankers Association and is past chair of that association’s Regions Group. He chaired the Professional Development Council of the American Bankers Association, served as Chair of the Board of Directors of the Center for Financial Training and is a past President of the California Chapter of the American Institute of Banking. Mr. McCullough has also been active in civic organizations. He is a past President of the West Los Angeles Chamber of Commerce, as well as of the Westside Council of Chambers of Commerce. He served as chair of the Westside Economic Collaborative and is also a past President of the Rotary Club of Century City. Mr. McCullough received his B.A. degree in Economics from the University of Pennsylvania and later earned his M.B.A. in Finance at UCLA.","['Mr. Thomas McCullough is Executive Vice President, Executive Administration for Commercial Bank of California.', 'In this role, he helps exceptional individuals build effective teams to accomplish extraordinary things for the Bank and its clients.', 'Mr. McCullough began his banking career in 1974 and since that time has served in a variety of positions in independent banks throughout Southern California.', 'Mr. McCullough has been active in banking industry organizations.', 'He is a past member of the Board of the California Bankers Association and is past chair of that association’s Regions Group.', 'He chaired the Professional Development Council of the American Bankers Association, served as Chair of the Board of Directors of the Center for Financial Training and is a past President of the California Chapter of the American Institute of Banking.', 'Mr. McCullough has also been active in civic organizations.', 'He is a past President of the West Los Angeles Chamber of Commerce, as well as of the Westside Council of Chambers of Commerce.', 'He served as chair of the Westside Economic Collaborative and is also a past President of the Rotary Club of Century City.', 'Mr. McCullough received his B.A. degree in Economics from the University of Pennsylvania and later earned his M.B.A. in Finance at UCLA.']",,"Mr. Thomas McCullough is Executive Vice President, Executive Administration for Commercial Bank of California. In this role, he helps exceptional individuals build effective teams to accomplish extraordinary things for the Bank and its clients. Mr. McCullough began his banking career in 1974 and since that time has served in a variety of positions in independent banks throughout Southern California. Mr. McCullough has been active in banking industry organizations. He is a past member of the Board of the California Bankers Association and is past chair of that association’s Regions Group. He chaired the Professional Development Council of the American Bankers Association, served as Chair of the Board of Directors of the Center for Financial Training and is a past President of the California Chapter of the American Institute of Banking. Mr. McCullough has also been active in civic organizations. He is a past President of the West Los Angeles Chamber of Commerce, as well as of the Westside Council of Chambers of Commerce. He served as chair of the Westside Economic Collaborative and is also a past President of the Rotary Club of Century City. Mr. McCullough received his B.A. degree in Economics from the University of Pennsylvania and later earned his M.B.A. in Finance at UCLA.",0,0
31757,100282,First Regional Bancorp,"Mr. Jack A. Sweeney was the Founder and Chairman Emeritus of First Regional Bancorp. Mr. Sweeney founded First Regional Bank in 1979. He served as Chief Executive Officer of First Regional Bancorp and First Regional Bank. He served as Chairman of First Regional Bancorp and First Regional Bank until January 2, 2009. He served as Director of First Regional Bancorp and served the same position from 1981 to January 2, 2009. He served as Director of First Regional Bank until January 2, 2009. Mr. Sweeney passed away on February 3, 2017.","['Mr. Jack A. Sweeney was the Founder and Chairman Emeritus of First Regional Bancorp.', 'Mr. Sweeney founded First Regional Bank in 1979.', 'He served as Chief Executive Officer of First Regional Bancorp and First Regional Bank.', 'He served as Chairman of First Regional Bancorp and First Regional Bank until January 2, 2009.', 'He served as Director of First Regional Bancorp and served the same position from 1981 to January 2, 2009.', 'He served as Director of First Regional Bank until January 2, 2009.', 'Mr. Sweeney passed away on February 3, 2017.']","Mr. Jack A. Sweeney was the Founder and Chairman Emeritus of First Regional Bancorp. Mr. Sweeney founded First Regional Bank in 1979. He served as Chief Executive Officer of First Regional Bancorp and First Regional Bank. He served as Chairman of First Regional Bancorp and First Regional Bank until January 2, 2009. He served as Director of First Regional Bancorp and served the same position from 1981 to January 2, 2009. He served as Director of First Regional Bank until January 2, 2009.","Mr. Sweeney passed away on February 3, 2017.",6,6
31756,100282,First Regional Bancorp,"Mr. H. Anthony Gartshore served as the Chief Executive Officer at First Regional Bancorp since January 2, 2008 and also served as its President. Mr. Gartshore also served as the Chief Executive Officer and President of First Regional Bank, a subsidiary of First Regional Bancorp. He served as a Director of First Regional Bancorp since 1996.","['Mr. H. Anthony Gartshore served as the Chief Executive Officer at First Regional Bancorp since January 2, 2008 and also served as its President.', 'Mr. Gartshore also served as the Chief Executive Officer and President of First Regional Bank, a subsidiary of First Regional Bancorp.', 'He served as a Director of First Regional Bancorp since 1996.']","Mr. H. Anthony Gartshore served as the Chief Executive Officer at First Regional Bancorp since January 2, 2008 and also served as its President. Mr. Gartshore also served as the Chief Executive Officer and President of First Regional Bank, a subsidiary of First Regional Bancorp. He served as a Director of First Regional Bancorp since 1996.",,3,3
336306,100205,"Colonial BancGroup, Inc.","James B. Nonnengard was Chief Executive Officer and President of Colonial Brokerage Inc., a subsidiary of Colonial Bancgroup Inc. from February 20, 2007 to April, 2008. At Colonial Brokerage, Mr. Nonnengard was responsible for oversight and direction of the investment department providing financial planning solutions to retail and institutional customers. He has 23 years of financial services experience. Previously, Mr. Nonnengard served as President of AmSouth Investment Services. He was responsible for the investment division in more than 600 branches serviced by approximately 200 financial consultants and 1,400 platform agents. He also was responsible for the institutional, public finance and capital markets divisions of theAmSouth's investment service's group. He is a Member of the Bank Insurance and Securities Association. Mr. Nonnengard holds a Bachelor of Arts degree in Political Science and Communication from Canisius College in Buffalo, N.Y.","['James B. Nonnengard was Chief Executive Officer and President of Colonial Brokerage Inc., a subsidiary of Colonial Bancgroup Inc. from February 20, 2007 to April, 2008.', 'At Colonial Brokerage, Mr. Nonnengard was responsible for oversight and direction of the investment department providing financial planning solutions to retail and institutional customers.', 'He has 23 years of financial services experience.', 'Previously, Mr. Nonnengard served as President of AmSouth Investment Services.', 'He was responsible for the investment division in more than 600 branches serviced by approximately 200 financial consultants and 1,400 platform agents.', ""He also was responsible for the institutional, public finance and capital markets divisions of theAmSouth's investment service's group."", 'He is a Member of the Bank Insurance and Securities Association.', 'Mr. Nonnengard holds a Bachelor of Arts degree in Political Science and Communication from Canisius College in Buffalo, N.Y.']","James B. Nonnengard was Chief Executive Officer and President of Colonial Brokerage Inc., a subsidiary of Colonial Bancgroup Inc. from February 20, 2007 to April, 2008.","At Colonial Brokerage, Mr. Nonnengard was responsible for oversight and direction of the investment department providing financial planning solutions to retail and institutional customers. He has 23 years of financial services experience. Previously, Mr. Nonnengard served as President of AmSouth Investment Services. He was responsible for the investment division in more than 600 branches serviced by approximately 200 financial consultants and 1,400 platform agents. He also was responsible for the institutional, public finance and capital markets divisions of theAmSouth's investment service's group. He is a Member of the Bank Insurance and Securities Association. Mr. Nonnengard holds a Bachelor of Arts degree in Political Science and Communication from Canisius College in Buffalo, N.Y.",1,1
